recomb_multiplier	k_adapt	gamma_shape	replicate	seed
0.5	1000	0.1	1	361981876297608450
0.5	1000	0.2	1	2042786418164905500
0.5	1000	0.4	1	2194141184471892500
0.5	10000	0.1	1	2247349877582155800
0.5	10000	0.2	1	260339929822941820
0.5	10000	0.4	1	761284027991050200
1	1000	0.1	1	1507942673954314800
1	1000	0.2	1	572075874352044860
1	1000	0.4	1	987223455954396900
1	10000	0.1	1	1791258998928079e3
1	10000	0.2	1	2267183837699194600
1	10000	0.4	1	2087182358768428800
2	1000	0.1	1	451879078486053200
2	1000	0.2	1	706456447711742600
2	1000	0.4	1	2040994459796439e3
2	10000	0.1	1	1043425897442768900
2	10000	0.2	1	2021557664865314600
2	10000	0.4	1	1308071458758439700
4	1000	0.1	1	2220904715379386600
4	1000	0.2	1	1541752419316732400
4	1000	0.4	1	1232808506122668300
4	10000	0.1	1	500395933665508160
4	10000	0.2	1	195634890036073e4
4	10000	0.4	1	1230074365582394400
0.5	1000	0.1	2	1401494770751843300
0.5	1000	0.2	2	1936513827799743500
0.5	1000	0.4	2	1145756528067942700
0.5	10000	0.1	2	522382383294888960
0.5	10000	0.2	2	969903858891864700
0.5	10000	0.4	2	516092094787156740
1	1000	0.1	2	662766107190936400
1	1000	0.2	2	2229653540057376e3
1	1000	0.4	2	1606591524709869600
1	10000	0.1	2	1097886752476602600
1	10000	0.2	2	1450121569342329300
1	10000	0.4	2	845468674622980100
2	1000	0.1	2	349469606037527400
2	1000	0.2	2	1471224052403311e3
2	1000	0.4	2	150498757030351870
2	10000	0.1	2	1781383810697957e3
2	10000	0.2	2	578942992328127500
2	10000	0.4	2	2128537365405072400
4	1000	0.1	2	516808370019790850
4	1000	0.2	2	930238790873997600
4	1000	0.4	2	1169154477460799e3
4	10000	0.1	2	480783517197522750
4	10000	0.2	2	760843755450245200
4	10000	0.4	2	2229533332350454300
0.5	1000	0.1	3	20033458968783644
0.5	1000	0.2	3	1717869523402222e3
0.5	1000	0.4	3	1125133375822682800
0.5	10000	0.1	3	1469097257638652200
0.5	10000	0.2	3	785910355418781800
0.5	10000	0.4	3	1845301447117982200
1	1000	0.1	3	465749916642284400
1	1000	0.2	3	1362466554315699e3
1	1000	0.4	3	1241129976199721500
1	10000	0.1	3	380226567962609900
1	10000	0.2	3	720004640018139500
1	10000	0.4	3	86039707715544460
2	1000	0.1	3	2292266218249546e3
2	1000	0.2	3	759482509957029600
2	1000	0.4	3	1287853922939412e3
