recomb_multiplier	k_adapt	gamma_shape	replicate	seed
0.5	10000	0.4	1	761284027991050200
1	10000	0.4	1	2087182358768428800
2	10000	0.4	1	1308071458758439700
4	10000	0.4	1	1230074365582394400
0.5	10000	0.4	2	516092094787156740
1	10000	0.4	2	845468674622980100
2	10000	0.4	2	2128537365405072400
4	10000	0.4	2	2229533332350454300
0.5	10000	0.4	3	1845301447117982200
1	10000	0.4	3	86039707715544460
2	10000	0.4	3	1545621340733264400
4	10000	0.4	3	690584995032543500
0.5	10000	0.4	4	290706245623482100
1	10000	0.4	4	436718119740469300
2	10000	0.4	4	683169076643291100
4	10000	0.4	4	1938711663083998200
0.5	10000	0.4	5	206486164706538200
1	10000	0.4	5	998763918901963100
2	10000	0.4	5	2270750579544177e3
4	10000	0.4	5	1996852882610632700
0.5	10000	0.4	6	1620416882376751600
1	10000	0.4	6	2235727238627641300
2	10000	0.4	6	615798523113398800
4	10000	0.4	6	210082340400162e4
0.5	10000	0.4	7	1079064434809674500
1	10000	0.4	7	249885663941981280
2	10000	0.4	7	1388418153654098700
4	10000	0.4	7	780478082469250200
0.5	10000	0.4	8	1239206100288492800
1	10000	0.4	8	1629711047514463e3
2	10000	0.4	8	1988886745112366600
4	10000	0.4	8	452308080496901440
0.5	10000	0.4	9	1763544253002503700
1	10000	0.4	9	948929243182272600
2	10000	0.4	9	30717925770629448
4	10000	0.4	9	1608011305726762500
0.5	10000	0.4	10	1901253540866595300
1	10000	0.4	10	115742893817780900
2	10000	0.4	10	1071629247585576400
4	10000	0.4	10	491003867565565800
0.5	10000	0.4	11	1927090960780432400
1	10000	0.4	11	1.7581492391703199e+18
2	10000	0.4	11	2053467108822944800
4	10000	0.4	11	1775797356028902e3
0.5	10000	0.4	12	1703630888352458e3
1	10000	0.4	12	1750323566130783200
2	10000	0.4	12	1230968123018007300
4	10000	0.4	12	15181814983187096
0.5	10000	0.4	13	2218466830626958300
1	10000	0.4	13	1260863636577879800
2	10000	0.4	13	1194892981102079e3
4	10000	0.4	13	1445900962077217800
0.5	10000	0.4	14	1402627948341946400
1	10000	0.4	14	2120860114620835800
2	10000	0.4	14	61595131805074896
4	10000	0.4	14	199573402903395070
0.5	10000	0.4	15	40166763052392896
1	10000	0.4	15	2231416132845319200
2	10000	0.4	15	693869511341591700
4	10000	0.4	15	50453377200814584
0.5	10000	0.4	16	425809899014740500
1	10000	0.4	16	1671601200508077800
2	10000	0.4	16	2034405926760516e3
4	10000	0.4	16	754472362043518e3
0.5	10000	0.4	17	1801722371614112800
1	10000	0.4	17	1782863138982129700
2	10000	0.4	17	301836922553446140
4	10000	0.4	17	722046280029221200
0.5	10000	0.4	18	2051219930744564500
1	10000	0.4	18	1204285633490906600
2	10000	0.4	18	1576412472921287200
4	10000	0.4	18	866870317233002600
0.5	10000	0.4	19	2231727114111955500
1	10000	0.4	19	84913447222391140
2	10000	0.4	19	198790827948630500
4	10000	0.4	19	716774696021434e3
0.5	10000	0.4	20	572005464280525e3
1	10000	0.4	20	1237083605229875700
2	10000	0.4	20	1686138212586091800
4	10000	0.4	20	1377853872599967700
0.5	10000	0.4	21	1411281079953460700
1	10000	0.4	21	2222141207312825300
2	10000	0.4	21	1084356816449139500
4	10000	0.4	21	345698706618702850
0.5	10000	0.4	22	205454582530628160
1	10000	0.4	22	1180320397000235e3
2	10000	0.4	22	1127442182921310500
4	10000	0.4	22	72313896241868430
0.5	10000	0.4	23	762174116248402200
1	10000	0.4	23	1.2321575407337439e+18
2	10000	0.4	23	1347827762888966700
4	10000	0.4	23	15260187732971010
0.5	10000	0.4	24	970833906238092300
1	10000	0.4	24	156060556642456700
2	10000	0.4	24	750552148394666900
4	10000	0.4	24	2123111422791005200
0.5	10000	0.4	25	557781429169462850
1	10000	0.4	25	276372553776093570
2	10000	0.4	25	1514680538523936e3
4	10000	0.4	25	759838077215480200
0.5	10000	0.4	26	2134856812426359e3
1	10000	0.4	26	915256817594492900
2	10000	0.4	26	959590829741651100
4	10000	0.4	26	2098551376566147600
0.5	10000	0.4	27	268402699265713500
1	10000	0.4	27	950808422584373600
2	10000	0.4	27	779728599578495700
4	10000	0.4	27	1497508246002596900
0.5	10000	0.4	28	401894297415769660
1	10000	0.4	28	850762710651378e3
2	10000	0.4	28	619349253645038e3
4	10000	0.4	28	1149282849921760800
0.5	10000	0.4	29	2268244471888372700
1	10000	0.4	29	69853920149101150
2	10000	0.4	29	873977188018719200
4	10000	0.4	29	1034849417190348700
0.5	10000	0.4	30	1091096054424906e3
1	10000	0.4	30	516931778145778700
2	10000	0.4	30	1540517318733514200
4	10000	0.4	30	231721162478743680
0.5	10000	0.4	31	710382642936909300
1	10000	0.4	31	1965085387406621700
2	10000	0.4	31	1126677067477329200
4	10000	0.4	31	1776182992030275600
0.5	10000	0.4	32	1868130125085648600
1	10000	0.4	32	1742323695090948e3
2	10000	0.4	32	483496552475382300
4	10000	0.4	32	1628708022365325300
0.5	10000	0.4	33	1657764770767466200
1	10000	0.4	33	1850067574547970800
2	10000	0.4	33	337161643204591800
4	10000	0.4	33	66879486373407e4
0.5	10000	0.4	34	1597928775105854500
1	10000	0.4	34	2304072849944747800
2	10000	0.4	34	980246581546573700
4	10000	0.4	34	1491097866310710300
0.5	10000	0.4	35	590345557184485800
1	10000	0.4	35	1584941964159276500
2	10000	0.4	35	769016064207276700
4	10000	0.4	35	1.8999809680754719e+18
0.5	10000	0.4	36	1929642758279762400
1	10000	0.4	36	334296938662065660
2	10000	0.4	36	564788567347333760
4	10000	0.4	36	1488798910852178e3
0.5	10000	0.4	37	269438043525387650
1	10000	0.4	37	84514280261822940
2	10000	0.4	37	1330146160063503600
4	10000	0.4	37	1865946778797765600
0.5	10000	0.4	38	608727907032367e3
1	10000	0.4	38	169097241614249440
2	10000	0.4	38	1468055150365242600
4	10000	0.4	38	559307526971847900
0.5	10000	0.4	39	705352039919194800
1	10000	0.4	39	555041970818922700
2	10000	0.4	39	695537294662921500
4	10000	0.4	39	1957444351533442800
0.5	10000	0.4	40	1961405754836684500
1	10000	0.4	40	162499180856175e4
2	10000	0.4	40	1497371600125775e3
4	10000	0.4	40	101382619718928540
0.5	10000	0.4	41	2005829908930581500
1	10000	0.4	41	167463654115345060
2	10000	0.4	41	1263924943275593700
4	10000	0.4	41	103695976536967140
0.5	10000	0.4	42	1389920808769243100
1	10000	0.4	42	2034733211938739700
2	10000	0.4	42	1275056664897084e3
4	10000	0.4	42	1374117815442001700
0.5	10000	0.4	43	248378035980480600
1	10000	0.4	43	1894822207219511e3
2	10000	0.4	43	1351204682926324700
4	10000	0.4	43	577241752655795e3
0.5	10000	0.4	44	777460985227808600
1	10000	0.4	44	2182180562219817200
2	10000	0.4	44	1298266406774977500
4	10000	0.4	44	402936372047039700
0.5	10000	0.4	45	1716110351295268e3
1	10000	0.4	45	1522838579976408300
2	10000	0.4	45	2151026079579416600
4	10000	0.4	45	2203998324942899200
0.5	10000	0.4	46	2185287427332366300
1	10000	0.4	46	883683168217975800
2	10000	0.4	46	660508526128793e3
4	10000	0.4	46	396669505152118460
0.5	10000	0.4	47	1722542347334231300
1	10000	0.4	47	1102999335323243e3
2	10000	0.4	47	1726294860546565e3
4	10000	0.4	47	1758207409088696800
0.5	10000	0.4	48	2028814204045493800
1	10000	0.4	48	1316052153928721200
2	10000	0.4	48	1426286976425571600
4	10000	0.4	48	1291986273270044e3
0.5	10000	0.4	49	827348830062351900
1	10000	0.4	49	1574043011144749800
2	10000	0.4	49	219810702899223e4
4	10000	0.4	49	1818287113273292300
0.5	10000	0.4	50	197665046624885540
1	10000	0.4	50	1077964737360432800
2	10000	0.4	50	1.7724161073554998e+17
4	10000	0.4	50	62174010302364250
0.5	10000	0.4	51	348078290772119040
1	10000	0.4	51	693295145821030700
2	10000	0.4	51	2082859995210065400
4	10000	0.4	51	1835210625144371500
